id;first_name;last_name;cpf;birth_date
1;Benício;Costa;back-end;2021-07-10T15:14:57
2;Gustavo;Pereira;National Georgia;2021-07-10T15:28:44
3;Isaac;Carvalho;Cedi leading-edge;2021-07-09T22:01:32
4;Hugo;Franco;Inteligente;2021-07-09T23:34:17
5;Giovanna;Barros;Accounts hack Security;2021-07-09T20:12:53
6;Tertuliano;Pereira;Tocantins connect Metal;2021-07-09T17:27:45
7;Ana Clara;Franco;Metrics Rua;2021-07-10T01:55:24
8;César;Moreira;Buckinghamshire monetize;2021-07-09T17:11:25
9;Mércia;Pereira;SCSI;2021-07-09T17:21:21
10;Félix;Costa;Sem Crianças intermediate;2021-07-10T05:53:04
